DFT_ID,Alloy,Ti,Zr,Hf,V,Nb,Ta,Mo,W,Re
DFT_0001,W91Re9,0,0,0,0,0,0,0,91,9
DFT_0002,W95Re5,0,0,0,0,0,0,0,95,5
DFT_0003,Mo92Re8,0,0,0,0,0,0,92,0,8
DFT_0004,Ta50W50,0,0,0,0,0,50,0,50,0
DFT_0005,Ta60W40,0,0,0,0,0,60,0,40,0
DFT_0006,Ta70W30,0,0,0,0,0,70,0,30,0
DFT_0007,Ta80W20,0,0,0,0,0,80,0,20,0
DFT_0008,Ta90W7Re3,0,0,0,0,0,90,0,7,3
DFT_0009,Ta90W10,0,0,0,0,0,90,0,10,0
DFT_0010,Nb5Ta45Mo5W45,0,0,0,0,5,45,5,45,0
DFT_0011,Nb22Ta34Mo22W22,0,0,0,0,22,34,22,22,0
DFT_0012,Nb24Ta28Mo24W24,0,0,0,0,24,28,24,24,0
DFT_0013,Nb25Ta25Mo25W25,0,0,0,0,25,25,25,25,0
DFT_0014,Nb26Ta23Mo26W25,0,0,0,0,26,23,26,25,0
DFT_0015,Nb27Ta19Mo27W27,0,0,0,0,27,19,27,27,0
DFT_0016,Nb29Ta14Mo29W28,0,0,0,0,29,14,29,28,0
DFT_0017,Nb32Ta6Mo31W31,0,0,0,0,32,6,31,31,0
DFT_0018,Nb35Ta5Mo25W35,0,0,0,0,35,5,25,35,0
DFT_0019,Nb35Ta35Mo5W25,0,0,0,0,35,35,5,25,0
DFT_0020,Nb50Mo25W25,0,0,0,0,50,0,25,25,0
DFT_0021,Nb66Mo17W17,0,0,0,0,66,0,17,17,0
DFT_0022,Nb66Mo18W16,0,0,0,0,66,0,18,16,0
DFT_0023,Nb67Mo16W17,0,0,0,0,67,0,16,17,0
DFT_0024,Nb67Mo17W16,0,0,0,0,67,0,17,16,0
DFT_0025,Nb68Mo16W16,0,0,0,0,68,0,16,16,0
DFT_0026,Nb89Ta6W5,0,0,0,0,89,6,0,5,0
DFT_0027,V10Nb10Ta35Mo10W35,0,0,0,10,10,35,10,35,0
DFT_0028,V11Nb45Ta44,0,0,0,11,45,44,0,0,0
DFT_0029,V18Nb41Ta41,0,0,0,18,41,41,0,0,0
DFT_0030,V20Nb20Ta20Mo20W20,0,0,0,20,20,20,20,20,0
DFT_0031,V21Nb39Ta40,0,0,0,21,39,40,0,0,0
DFT_0032,V25Nb25Ta25W25,0,0,0,25,25,25,0,25,0
DFT_0033,V25Nb25Ta25Mo25,0,0,0,25,25,25,25,0,0
DFT_0034,V33Nb34Ta33,0,0,0,33,34,33,0,0,0
DFT_0035,Hf1Ta81W16Re2,0,0,1,0,0,81,0,16,2
DFT_0036,Hf1Ta82W15Re2,0,0,1,0,0,82,0,15,2
DFT_0037,Hf1Ta84W14Re1,0,0,1,0,0,84,0,14,1
DFT_0038,Hf1Ta88W9Re2,0,0,1,0,0,88,0,9,2
DFT_0039,Hf1Ta88W10Re1,0,0,1,0,0,88,0,10,1
DFT_0040,Hf1Ta88W11,0,0,1,0,0,88,0,11,0
DFT_0041,Hf1Ta89W8Re2,0,0,1,0,0,89,0,8,2
DFT_0042,Hf1Ta89W9Re1,0,0,1,0,0,89,0,9,1
DFT_0043,Hf1Ta90W7Re2,0,0,1,0,0,90,0,7,2
DFT_0044,Hf1Ta90W8Re1,0,0,1,0,0,90,0,8,1
