DFT_ID,Alloy,SWS0,B0,C11,C12,C44,cprime,B,G_V,G_R,G_VRH,E,nu,B_G_ratio,Cauchy,A,Hv,R2_cprime,R2_c44,n_drop_cprime,n_drop_c44,born_stable
DFT_0001,W91Re9,2.963764,305.59,533.22,191.78,157.55,170.72,305.59,162.82,162.57,162.70,414.52,0.2739,1.8783,34.22,0.9229,15.81,0.999938,0.999578,0,0,Y
DFT_0002,W95Re5,2.966745,288.33,518.82,173.08,156.20,172.87,288.33,162.87,162.46,162.66,410.75,0.2626,1.7725,16.89,0.9036,17.13,0.999894,0.999555,0,0,Y
DFT_0003,Mo92Re8,2.940529,257.09,482.45,144.41,125.16,169.02,257.09,142.70,139.66,141.18,358.01,0.2679,1.8210,19.25,0.7405,14.95,0.999983,0.999718,0,0,Y
DFT_0004,Ta50W50,3.022068,226.71,373.45,153.34,92.73,110.05,226.71,99.66,98.96,99.31,259.97,0.3089,2.2828,60.61,0.8426,8.22,0.998703,0.998041,0,0,Y
DFT_0005,Ta60W40,3.034711,232.65,361.96,167.99,87.85,96.99,232.65,91.51,91.29,91.40,242.45,0.3263,2.5455,80.14,0.9058,6.41,0.999820,0.999759,0,0,Y
DFT_0006,Ta70W30,3.049255,206.18,326.81,145.86,90.05,90.48,206.18,90.22,90.22,90.22,236.21,0.3091,2.2853,55.81,0.9953,7.59,0.999232,0.999947,0,0,Y
DFT_0007,Ta80W20,3.064211,223.99,336.77,167.60,92.54,84.59,223.99,89.36,89.18,89.27,236.41,0.3241,2.5091,75.06,1.0940,6.44,0.998959,0.999923,0,0,Y
DFT_0008,Ta90W7Re3,3.077436,200.83,306.88,147.81,96.88,79.54,200.83,89.94,89.11,89.53,233.83,0.3059,2.2432,50.92,1.2181,7.77,0.999622,0.999895,0,0,Y
DFT_0009,Ta90W10,3.082276,189.80,293.75,137.83,97.64,77.96,189.80,89.77,88.68,89.22,231.41,0.2968,2.1272,40.19,1.2524,8.44,0.999854,0.999802,0,0,Y
DFT_0010,Nb5Ta45Mo5W45,3.019428,229.24,379.21,154.25,89.69,112.48,229.24,98.81,97.60,98.20,257.80,0.3126,2.3343,64.56,0.7974,7.86,0.999140,0.997489,0,0,Y
DFT_0011,Nb22Ta34Mo22W22,3.023017,219.58,368.22,145.26,75.12,111.48,219.58,89.66,86.39,88.03,232.95,0.3232,2.4944,70.14,0.6738,6.42,0.999280,0.995211,0,0,Y
DFT_0012,Nb24Ta28Mo24W24,3.016831,219.70,378.89,140.11,78.94,119.39,219.70,95.12,91.32,93.22,245.01,0.3141,2.3568,61.16,0.6612,7.41,0.999717,0.995869,0,0,Y
DFT_0013,Nb25Ta25Mo25W25,3.013862,221.55,386.49,139.08,81.13,123.70,221.55,98.16,94.08,96.12,251.92,0.3105,2.3050,57.96,0.6558,7.88,0.999844,0.996715,0,0,Y
DFT_0014,Nb26Ta23Mo26W25,3.012233,222.12,390.40,137.98,81.97,126.21,222.12,99.67,95.34,97.50,255.17,0.3085,2.2781,56.01,0.6495,8.12,0.999897,0.997173,0,0,Y
DFT_0015,Nb27Ta19Mo27W27,3.007696,231.33,408.22,142.88,85.49,132.67,231.33,104.36,99.67,102.02,266.83,0.3078,2.2676,57.39,0.6444,8.48,0.999928,0.998609,0,0,Y
DFT_0016,Nb29Ta14Mo29W28,3.002835,236.60,421.83,143.98,87.80,138.92,236.60,108.25,102.95,105.60,275.77,0.3057,2.2405,56.19,0.6320,8.88,0.999797,0.999224,0,0,Y
DFT_0017,Nb32Ta6Mo31W31,2.997029,233.12,426.69,136.33,90.82,145.18,233.12,112.56,106.82,109.69,284.46,0.2966,2.1252,45.51,0.6256,9.93,0.999925,0.999586,0,0,Y
DFT_0018,Nb35Ta5Mo25W35,2.999456,232.58,423.96,136.89,88.89,143.53,232.58,110.75,104.86,107.80,280.13,0.2993,2.1574,48.00,0.6193,9.57,0.999884,0.999248,0,0,Y
DFT_0019,Nb35Ta35Mo5W25,3.045276,201.27,324.64,139.59,68.64,92.53,201.27,78.19,76.54,77.37,205.74,0.3296,2.6014,70.95,0.7419,5.32,0.999945,0.999674,0,0,Y
DFT_0020,Nb50Mo25W25,3.009741,206.69,383.56,118.25,75.71,132.65,206.69,98.49,91.41,94.95,247.02,0.3008,2.1769,42.54,0.5707,8.55,0.999784,0.996517,0,0,Y
DFT_0021,Nb66Mo17W17,3.027725,192.96,333.05,122.91,54.35,105.07,192.96,74.64,67.36,71.00,189.73,0.3361,2.7177,68.56,0.5173,4.52,0.999334,0.991611,0,0,Y
DFT_0022,Nb66Mo18W16,3.027446,192.84,333.17,122.68,54.19,105.24,192.84,74.61,67.24,70.92,189.53,0.3362,2.7190,68.49,0.5149,4.51,0.999366,0.991421,0,0,Y
DFT_0023,Nb67Mo16W17,3.029135,192.16,329.79,123.34,53.50,103.22,192.16,73.39,66.27,69.83,186.85,0.3379,2.7519,69.85,0.5183,4.34,0.999409,0.991186,0,0,Y
DFT_0024,Nb67Mo17W16,3.028856,192.01,329.81,123.11,53.31,103.35,192.01,73.33,66.11,69.72,186.58,0.3381,2.7540,69.80,0.5158,4.32,0.999446,0.990894,0,0,Y
