DFT_ID,Alloy,SWS0,B0,R2,dSWS_center
DFT_0001,W91Re9,2.963476,297.51,0.99996,+0.01978
DFT_0002,W95Re5,2.966373,290.91,0.99987,+0.01987
DFT_0003,Mo92Re8,2.940249,257.91,0.99999,+0.01425
DFT_0004,Ta50W50,3.021511,232.84,0.99994,+0.01151
DFT_0005,Ta60W40,3.034874,224.91,0.99996,+0.01287
DFT_0006,Ta70W30,3.049351,217.49,0.99976,+0.01535
DFT_0007,Ta80W20,3.064330,206.81,0.99982,+0.01833
DFT_0008,Ta90W7Re3,3.076637,197.58,0.99991,+0.02074
DFT_0009,Ta90W10,3.081020,194.43,0.99896,+0.02302
DFT_0010,Nb5Ta45Mo5W45,3.019718,230.33,0.99998,+0.01072
DFT_0011,Nb22Ta34Mo22W22,3.022581,215.86,0.99995,+0.00978
DFT_0012,Nb24Ta28Mo24W24,3.016431,218.97,0.99995,+0.00883
DFT_0013,Nb25Ta25Mo25W25,3.013349,220.36,0.99991,+0.00835
DFT_0014,Nb26Ta23Mo26W25,3.011638,220.71,0.99989,+0.00804
DFT_0015,Nb27Ta19Mo27W27,3.007195,224.84,0.99989,+0.00740
DFT_0016,Nb29Ta14Mo29W28,3.002764,229.57,0.99995,+0.00696
DFT_0017,Nb32Ta6Mo31W31,2.996804,229.78,0.99998,+0.00740
DFT_0018,Nb35Ta5Mo25W35,2.999578,232.85,0.99999,+0.00658
DFT_0019,Nb35Ta35Mo5W25,3.044751,198.28,0.99988,+0.01175
DFT_0020,Nb50Mo25W25,3.009314,209.21,0.99994,+0.00431
DFT_0021,Nb66Mo17W17,3.027838,192.85,0.99999,+0.00204
DFT_0022,Nb66Mo18W16,3.027547,192.80,0.99999,+0.00195
DFT_0023,Nb67Mo16W17,3.029287,192.43,0.99999,+0.00209
DFT_0024,Nb67Mo17W16,3.029014,192.40,0.99999,+0.00201
DFT_0025,Nb68Mo16W16,3.030518,191.81,0.99999,+0.00212
DFT_0026,Nb89Ta6W5,3.073914,167.30,0.99946,+0.00991
DFT_0027,V10Nb10Ta35Mo10W35,3.002278,223.40,1.00000,+0.01328
DFT_0028,V11Nb45Ta44,3.063527,167.99,0.99998,+0.02103
DFT_0029,V18Nb41Ta41,3.047509,166.49,0.99999,+0.02251
DFT_0030,V20Nb20Ta20Mo20W20,2.981014,203.80,0.99993,+0.01301
DFT_0031,V21Nb39Ta40,3.040490,165.92,0.99999,+0.02299
DFT_0032,V25Nb25Ta25W25,2.995224,191.01,0.99997,+0.01772
DFT_0033,V25Nb25Ta25Mo25,2.985674,183.86,0.99999,+0.01317
DFT_0034,V33Nb34Ta33,3.010043,164.53,0.99998,+0.02254
DFT_0035,Hf1Ta81W16Re2,3.069103,204.19,0.99997,+0.04632
DFT_0036,Hf1Ta82W15Re2,3.071369,191.43,1.00000,+0.04740
DFT_0037,Hf1Ta84W14Re1,3.073098,196.14,0.99996,+0.02828
DFT_0038,Hf1Ta88W9Re2,3.079089,192.35,1.00000,+0.02129
