DFT_ID,Alloy,SWS,error_type,message
DFT_0006,Ta70W30,2.94298,missing_output,kfcd output missing for DFT_0006_2.942980
DFT_0008,Ta90W7Re3,3.000894,missing_output,kfcd output missing for DFT_0008_3.000894
DFT_0009,Ta90W10,2.96626,missing_output,kfcd output missing for DFT_0009_2.966260
DFT_0035,Hf1Ta81W16Re2,3.048412,outlier_energy,"total energy -31456.988 Ry lies outside the ground-state cluster [-31458.374, -31458.349] Ry"
DFT_0036,Hf1Ta82W15Re2,2.905818,missing_output,kfcd output missing for DFT_0036_2.905818
DFT_0036,Hf1Ta82W15Re2,2.959082,missing_output,kfcd output missing for DFT_0036_2.959082
DFT_0036,Hf1Ta82W15Re2,2.977715,missing_output,kfcd output missing for DFT_0036_2.977715
DFT_0036,Hf1Ta82W15Re2,3.013663,missing_output,kfcd output missing for DFT_0036_3.013663
DFT_0036,Hf1Ta82W15Re2,3.049611,missing_output,kfcd output missing for DFT_0036_3.049611
DFT_0036,Hf1Ta82W15Re2,3.08556,missing_output,kfcd output missing for DFT_0036_3.085560
DFT_0036,Hf1Ta82W15Re2,3.105511,outlier_energy,"total energy -31446.236 Ry lies outside the ground-state cluster [-31447.572, -31447.558] Ry"
DFT_0036,Hf1Ta82W15Re2,3.142118,outlier_energy,"total energy -31446.233 Ry lies outside the ground-state cluster [-31447.572, -31447.558] Ry"
DFT_0037,Hf1Ta84W14Re1,2.962089,missing_output,kfcd output missing for DFT_0037_2.962089
DFT_0037,Hf1Ta84W14Re1,2.980741,missing_output,kfcd output missing for DFT_0037_2.980741
DFT_0037,Hf1Ta84W14Re1,2.998733,missing_output,kfcd output missing for DFT_0037_2.998733
DFT_0037,Hf1Ta84W14Re1,3.017166,missing_output,kfcd output missing for DFT_0037_3.017166
DFT_0037,Hf1Ta84W14Re1,3.05359,missing_output,kfcd output missing for DFT_0037_3.053590
DFT_0037,Hf1Ta84W14Re1,3.090015,missing_output,kfcd output missing for DFT_0037_3.090015
DFT_0037,Hf1Ta84W14Re1,3.126439,missing_output,kfcd output missing for DFT_0037_3.126439
DFT_0037,Hf1Ta84W14Re1,3.145311,outlier_energy,"total energy -31413.593 Ry lies outside the ground-state cluster [-31414.932, -31414.918] Ry"
DFT_0038,Hf1Ta88W9Re2,2.966066,outlier_energy,"total energy -31381.421 Ry lies outside the ground-state cluster [-31382.767, -31382.763] Ry"
DFT_0038,Hf1Ta88W9Re2,3.149534,outlier_energy,"total energy -31381.429 Ry lies outside the ground-state cluster [-31382.767, -31382.763] Ry"
DFT_0039,Hf1Ta88W10Re1,2.966745,missing_output,kfcd output missing for DFT_0039_2.966745
DFT_0039,Hf1Ta88W10Re1,3.150255,outlier_energy,"total energy -31370.390 Ry lies outside the ground-state cluster [-31371.729, -31371.724] Ry"
DFT_0040,Hf1Ta88W11,2.967424,missing_output,kfcd output missing for DFT_0040_2.967424
DFT_0040,Hf1Ta88W11,3.150976,outlier_energy,"total energy -31359.352 Ry lies outside the ground-state cluster [-31360.690, -31360.685] Ry"
DFT_0041,Hf1Ta89W8Re2,2.96723,missing_output,kfcd output missing for DFT_0041_2.967230
DFT_0041,Hf1Ta89W8Re2,3.15077,outlier_energy,"total energy -31370.628 Ry lies outside the ground-state cluster [-31371.967, -31371.962] Ry"
DFT_0042,Hf1Ta89W9Re1,2.967909,missing_output,kfcd output missing for DFT_0042_2.967909
DFT_0042,Hf1Ta89W9Re1,3.151491,outlier_energy,"total energy -31359.590 Ry lies outside the ground-state cluster [-31360.928, -31360.923] Ry"
DFT_0043,Hf1Ta90W7Re2,2.968394,missing_output,kfcd output missing for DFT_0043_2.968394
DFT_0043,Hf1Ta90W7Re2,3.152006,outlier_energy,"total energy -31359.827 Ry lies outside the ground-state cluster [-31361.166, -31361.161] Ry"
DFT_0044,Hf1Ta90W8Re1,2.969073,missing_output,kfcd output missing for DFT_0044_2.969073
DFT_0044,Hf1Ta90W8Re1,3.152727,outlier_energy,"total energy -31348.789 Ry lies outside the ground-state cluster [-31350.127, -31350.122] Ry"
DFT_0045,Hf1Ta90W9,2.969752,missing_output,kfcd output missing for DFT_0045_2.969752
DFT_0045,Hf1Ta90W9,3.153448,outlier_energy,"total energy -31337.751 Ry lies outside the ground-state cluster [-31339.089, -31339.084] Ry"
DFT_0046,Hf1Ta91W6Re2,2.969558,missing_output,kfcd output missing for DFT_0046_2.969558
DFT_0046,Hf1Ta91W6Re2,3.153242,outlier_energy,"total energy -31349.027 Ry lies outside the ground-state cluster [-31350.365, -31350.360] Ry"
DFT_0047,Hf1Ta91W7Re1,2.970237,missing_output,kfcd output missing for DFT_0047_2.970237
DFT_0047,Hf1Ta91W7Re1,3.153963,outlier_energy,"total energy -31337.988 Ry lies outside the ground-state cluster [-31339.326, -31339.321] Ry"
DFT_0048,Hf1Ta91W8,2.970916,missing_output,kfcd output missing for DFT_0048_2.970916
DFT_0048,Hf1Ta91W8,3.154684,outlier_energy,"total energy -31326.950 Ry lies outside the ground-state cluster [-31328.288, -31328.283] Ry"
DFT_0049,Hf1V17Nb41Ta41,2.975362,outlier_energy,"total energy -16569.674 Ry lies outside the ground-state cluster [-16571.013, -16571.004] Ry"
DFT_0049,Hf1V17Nb41Ta41,3.011721,outlier_energy,"total energy -16569.677 Ry lies outside the ground-state cluster [-16571.013, -16571.004] Ry"
DFT_0050,Hf2Ta88W10,2.970916,missing_output,kfcd output missing for DFT_0050_2.970916
DFT_0050,Hf2Ta88W10,3.154684,outlier_energy,"total energy -31336.650 Ry lies outside the ground-state cluster [-31339.323, -31339.318] Ry"
DFT_0051,Hf2Ta90W7Re1,2.972565,missing_output,kfcd output missing for DFT_0051_2.972565
DFT_0051,Hf2Ta90W7Re1,3.156435,outlier_energy,"total energy -31326.087 Ry lies outside the ground-state cluster [-31328.760, -31328.755] Ry"
DFT_0052,Hf2Ta90W8,2.973244,missing_output,kfcd output missing for DFT_0052_2.973244
DFT_0052,Hf2Ta90W8,3.157156,outlier_energy,"total energy -31315.048 Ry lies outside the ground-state cluster [-31317.721, -31317.716] Ry"
DFT_0053,Hf2Ta91W7,2.974408,missing_output,kfcd output missing for DFT_0053_2.974408
