DFT_ID,Alloy,SWS0,B0,R2,dSWS_center
DFT_0001,W91Re9,2.963764,305.59,0.99994,+0.00029
DFT_0002,W95Re5,2.966745,288.33,0.99944,+0.00037
DFT_0003,Mo92Re8,2.940529,257.09,0.99917,+0.00028
DFT_0004,Ta50W50,3.022068,226.71,0.99938,+0.00056
DFT_0005,Ta60W40,3.034711,232.65,0.99998,-0.00016
DFT_0006,Ta70W30,3.049255,206.18,0.99986,-0.00010
DFT_0007,Ta80W20,3.064211,223.99,0.99926,-0.00012
DFT_0008,Ta90W7Re3,3.077436,200.83,0.99676,+0.00080
DFT_0009,Ta90W10,3.082276,189.80,0.99758,+0.00126
DFT_0010,Nb5Ta45Mo5W45,3.019428,229.24,0.99992,-0.00029
DFT_0011,Nb22Ta34Mo22W22,3.023017,219.58,0.99993,+0.00044
DFT_0012,Nb24Ta28Mo24W24,3.016831,219.70,0.99994,+0.00040
DFT_0013,Nb25Ta25Mo25W25,3.013862,221.55,0.99977,+0.00051
DFT_0014,Nb26Ta23Mo26W25,3.012233,222.12,0.99969,+0.00059
DFT_0015,Nb27Ta19Mo27W27,3.007696,231.33,0.99979,+0.00050
DFT_0016,Nb29Ta14Mo29W28,3.002835,236.60,0.99990,+0.00007
DFT_0017,Nb32Ta6Mo31W31,2.997029,233.12,0.99996,+0.00022
DFT_0018,Nb35Ta5Mo25W35,2.999456,232.58,1.00000,-0.00012
DFT_0019,Nb35Ta35Mo5W25,3.045276,201.27,0.99988,+0.00053
DFT_0020,Nb50Mo25W25,3.009741,206.69,0.99998,+0.00043
DFT_0021,Nb66Mo17W17,3.027725,192.96,1.00000,-0.00011
DFT_0022,Nb66Mo18W16,3.027446,192.84,1.00000,-0.00010
DFT_0023,Nb67Mo16W17,3.029135,192.16,0.99999,-0.00015
DFT_0024,Nb67Mo17W16,3.028856,192.01,1.00000,-0.00016
DFT_0025,Nb68Mo16W16,3.030319,191.28,0.99999,-0.00020
DFT_0026,Nb89Ta6W5,3.075133,174.13,0.99970,+0.00122
DFT_0027,V10Nb10Ta35Mo10W35,3.002387,223.88,0.99999,+0.00011
DFT_0028,V11Nb45Ta44,3.063420,166.48,0.99993,-0.00011
DFT_0029,V18Nb41Ta41,3.047695,169.00,0.99636,+0.00019
DFT_0030,V20Nb20Ta20Mo20W20,2.981563,204.69,0.99973,+0.00055
DFT_0031,V21Nb39Ta40,3.040485,165.57,0.99994,-0.00001
DFT_0032,V25Nb25Ta25W25,2.995597,193.25,0.99997,+0.00037
DFT_0033,V25Nb25Ta25Mo25,2.985897,184.70,0.99998,+0.00022
DFT_0034,V33Nb34Ta33,3.010136,165.26,0.99992,+0.00009
DFT_0035,Hf1Ta81W16Re2,3.068323,217.75,0.99951,-0.00078
DFT_0036,Hf1Ta82W15Re2,3.069967,216.60,0.99951,-0.00140
DFT_0037,Hf1Ta84W14Re1,3.074638,206.98,0.99803,+0.00154
DFT_0038,Hf1Ta88W9Re2,3.080742,194.84,0.99713,+0.00165
DFT_0039,Hf1Ta88W10Re1,3.082241,192.64,0.99767,+0.00151
DFT_0040,Hf1Ta88W11,3.083866,187.51,0.99841,+0.00140
DFT_0041,Hf1Ta89W8Re2,3.082616,189.69,0.99826,+0.00153
DFT_0042,Hf1Ta89W9Re1,3.084242,189.02,0.99803,+0.00144
DFT_0043,Hf1Ta90W7Re2,3.084564,187.88,0.99850,+0.00145
DFT_0044,Hf1Ta90W8Re1,3.086205,188.21,0.99783,+0.00133
DFT_0045,Hf1Ta90W9,3.087693,188.46,0.99757,+0.00109
DFT_0046,Hf1Ta91W6Re2,3.086500,188.44,0.99825,+0.00135
DFT_0047,Hf1Ta91W7Re1,3.087958,187.86,0.99802,+0.00113
DFT_0048,Hf1Ta91W8,3.089285,188.13,0.99770,+0.00102
DFT_0049,Hf1V17Nb41Ta41,3.054569,169.03,1.00000,+0.00274
