DFT_ID,Alloy,R2_cprime,R2_c44,cprime,c44
DFT_0001,W91Re9,0.999938,0.999578,170.72,157.55
DFT_0002,W95Re5,0.999894,0.999555,172.87,156.20
DFT_0003,Mo92Re8,0.999983,0.999718,169.02,125.16
DFT_0004,Ta50W50,0.998703,0.998041,110.05,92.73
DFT_0005,Ta60W40,0.999820,0.999759,96.99,87.85
DFT_0006,Ta70W30,0.999232,0.999947,90.48,90.05
DFT_0007,Ta80W20,0.998959,0.999923,84.59,92.54
DFT_0008,Ta90W7Re3,0.999622,0.999895,79.54,96.88
DFT_0009,Ta90W10,0.999854,0.999802,77.96,97.64
DFT_0010,Nb5Ta45Mo5W45,0.999140,0.997489,112.48,89.69
DFT_0011,Nb22Ta34Mo22W22,0.999280,0.995211,111.48,75.12
DFT_0012,Nb24Ta28Mo24W24,0.999717,0.995869,119.39,78.94
DFT_0013,Nb25Ta25Mo25W25,0.999844,0.996715,123.70,81.13
DFT_0014,Nb26Ta23Mo26W25,0.999897,0.997173,126.21,81.97
DFT_0015,Nb27Ta19Mo27W27,0.999928,0.998609,132.67,85.49
DFT_0016,Nb29Ta14Mo29W28,0.999797,0.999224,138.92,87.80
DFT_0017,Nb32Ta6Mo31W31,0.999925,0.999586,145.18,90.82
DFT_0018,Nb35Ta5Mo25W35,0.999884,0.999248,143.53,88.89
DFT_0019,Nb35Ta35Mo5W25,0.999945,0.999674,92.53,68.64
DFT_0020,Nb50Mo25W25,0.999784,0.996517,132.65,75.71
DFT_0021,Nb66Mo17W17,0.999334,0.991611,105.07,54.35
DFT_0022,Nb66Mo18W16,0.999366,0.991421,105.24,54.19
DFT_0023,Nb67Mo16W17,0.999409,0.991186,103.22,53.50
DFT_0024,Nb67Mo17W16,0.999446,0.990894,103.35,53.31
DFT_0025,Nb68Mo16W16,0.999529,0.990579,101.49,52.53
DFT_0026,Nb89Ta6W5,0.999500,0.996718,72.65,42.48
DFT_0027,V10Nb10Ta35Mo10W35,0.999833,0.997599,108.53,80.26
DFT_0028,V11Nb45Ta44,0.999449,0.999638,72.43,67.34
DFT_0029,V18Nb41Ta41,0.999552,0.999576,71.95,64.64
DFT_0030,V20Nb20Ta20Mo20W20,0.999126,0.994657,107.63,67.94
DFT_0031,V21Nb39Ta40,0.999593,0.999567,71.86,63.81
DFT_0032,V25Nb25Ta25W25,0.999929,0.999957,89.36,65.32
DFT_0033,V25Nb25Ta25Mo25,0.999915,0.998764,90.62,54.38
DFT_0034,V33Nb34Ta33,0.999664,0.999448,71.39,59.10
DFT_0035,Hf1Ta81W16Re2,0.999177,0.999936,82.22,92.52
DFT_0036,Hf1Ta82W15Re2,0.999267,0.999932,81.66,92.84
DFT_0037,Hf1Ta84W14Re1,0.999467,0.999924,79.93,94.06
DFT_0038,Hf1Ta88W9Re2,0.999693,0.999900,77.53,95.64
DFT_0039,Hf1Ta88W10Re1,0.999776,0.999882,77.04,95.90
DFT_0040,Hf1Ta88W11,0.999845,0.999860,76.47,96.02
DFT_0041,Hf1Ta89W8Re2,0.999778,0.999879,76.80,95.95
DFT_0042,Hf1Ta89W9Re1,0.999834,0.999864,76.30,96.06
DFT_0043,Hf1Ta90W7Re2,0.634846,0.999868,27703.25,96.14
DFT_0044,Hf1Ta90W8Re1,0.999859,0.999852,75.55,96.12
DFT_0045,Hf1Ta90W9,0.999850,0.999837,75.09,96.21
DFT_0046,Hf1Ta91W6Re2,0.999848,0.999865,75.32,96.24
